"subj_id","left_word","left_number","middle_word","middle_number","right_word","right_number","correct_choice_position","is_catch_trial","participant_response_position_e2","is_consistent","trial_num","chose_gems","chose_onlystones","chose_other","response_position","stoneposition","chose_gems_p2","chose_onlystones_p2","chose_other_p2","response_position_p2","correct_choice_position_p2","rt","rt_p2","mentioned_rule"
"62e02b1ed5b0fbc1b1dc09e7","Wheel",2,"Juice",2,"Movie",2,"left",FALSE,"middle",TRUE,13,FALSE,FALSE,TRUE,"middle","right",FALSE,FALSE,TRUE,"middle","left",1527.20000004768,1711.69999992847,FALSE
"5ecf9b46617a9b3dd56b3fe3","Gorilla",2,"Teapot",3,"Water",3,"middle",FALSE,"middle",FALSE,13,FALSE,FALSE,TRUE,"left","right",TRUE,FALSE,FALSE,"middle","middle",2557.10000002384,4237.60000002384,TRUE
"590b3401182caf0001ab5801","Computer",1,"Flower",1,"Bottle",1,"right",FALSE,"middle",TRUE,13,FALSE,FALSE,TRUE,"middle","left",FALSE,FALSE,TRUE,"middle","right",1506.5,2413.5,FALSE
"65c11389b0d2ba8e63cb8b22","Zebra",1,"Pool",3,"Sheep",3,"right",FALSE,"right",TRUE,13,TRUE,FALSE,FALSE,"right","left",TRUE,FALSE,FALSE,"right","right",2436.60000014305,1802.09999990463,FALSE
"5d15160539eeea001683830c","Dinosaur",4,"Helicopter",3,"Fork",3,"middle",FALSE,"left",TRUE,13,FALSE,TRUE,FALSE,"left","left",FALSE,TRUE,FALSE,"left","middle",2391.40000000037,2673.79999999888,FALSE
"6620b6a209127dafd5b2dfb9","Juice",5,"Octopus",4,"Fire truck",4,"left",FALSE,"middle",FALSE,13,TRUE,FALSE,FALSE,"left","middle",FALSE,TRUE,FALSE,"middle","left",2843.59999996424,2346.90000003576,FALSE
"56c65a5a305eaa0005f2a634","Chair",3,"Belt",1,"Stairs",1,"right",FALSE,"left",FALSE,13,FALSE,TRUE,FALSE,"middle","middle",FALSE,FALSE,TRUE,"left","right",752.399999999441,1383.5,FALSE
"59fb1518b47dfc0001b6659b","Soup",4,"Bread",1,"Fence",1,"right",FALSE,"middle",TRUE,13,FALSE,TRUE,FALSE,"middle","middle",FALSE,TRUE,FALSE,"middle","right",334,1228,FALSE
"602c0fc2eff74b4748e9b41e","Ankle",1,"Pretzel",2,"Envelope",2,"middle",FALSE,"middle",TRUE,13,TRUE,FALSE,FALSE,"middle","left",TRUE,FALSE,FALSE,"middle","middle",2380,1802,FALSE
"5bcc98d1db645700015222b5","Pizza",3,"Sand",2,"Pants",2,"left",FALSE,"left",TRUE,13,TRUE,FALSE,FALSE,"left","right",TRUE,FALSE,FALSE,"left","left",5070.80000000075,2653.5,FALSE
"6773e6e6b205d22a2e097735","Teapot",3,"Head",2,"Fence",2,"right",FALSE,"left",TRUE,13,FALSE,TRUE,FALSE,"left","left",FALSE,TRUE,FALSE,"left","right",1824.30000019073,1589.79999995232,FALSE
"67505c42a18c872bab88ed42","Battery",1,"Ostrich",1,"Lizard",1,"right",FALSE,"right",FALSE,13,FALSE,FALSE,TRUE,"middle","left",TRUE,FALSE,FALSE,"right","right",2725.5,1496.30000001192,FALSE
"62a1e021702679d27813a3e2","Rabbit",3,"Cereal",3,"Clock",3,"right",FALSE,"middle",TRUE,13,FALSE,FALSE,TRUE,"middle","left",FALSE,FALSE,TRUE,"middle","right",2108.89999985695,1887.89999985695,FALSE
"639f294882a3797f77a3dd81","Zipper",1,"Yogurt",3,"Carrots",3,"middle",FALSE,"right",TRUE,13,FALSE,FALSE,TRUE,"right","left",FALSE,FALSE,TRUE,"right","middle",2327.10000002384,3463.5,FALSE
"654bc148c95bca00d541ec33","Teddy Bear",2,"Pants",2,"Plate",2,"right",FALSE,"right",TRUE,13,TRUE,FALSE,FALSE,"right","left",TRUE,FALSE,FALSE,"right","right",2373.09999990463,3501.70000004768,TRUE
"5d23460ad4c57900192b129c","Bird",5,"Bagel",5,"Diaper",5,"right",FALSE,"middle",FALSE,13,TRUE,FALSE,FALSE,"right","left",FALSE,FALSE,TRUE,"middle","right",3129.59999999963,7405.19999999925,FALSE
"67673cda94b4d0cf1a6a7382","Bridge",5,"Necklace",2,"String",2,"right",FALSE,"middle",TRUE,13,FALSE,TRUE,FALSE,"middle","middle",FALSE,TRUE,FALSE,"middle","right",2014.5,2449.40000009537,FALSE
"5c4f5967aac8be0001716a65","Bracelet",4,"Nest",5,"Hammer",5,"right",FALSE,"middle",FALSE,13,FALSE,TRUE,FALSE,"left","left",FALSE,FALSE,TRUE,"middle","right",1575.90000009537,3209.60000002384,FALSE
"67758c9a30d6819221153393","Butter",4,"Pen",3,"Pajamas",3,"left",FALSE,"left",TRUE,13,TRUE,FALSE,FALSE,"left","right",TRUE,FALSE,FALSE,"left","left",3500.29999999702,3496.5,FALSE
"66b37344796f45313433abc8","Candle",1,"Fire truck",4,"Rain",4,"left",FALSE,"right",FALSE,13,FALSE,TRUE,FALSE,"middle","middle",FALSE,FALSE,TRUE,"right","left",1852.40000000224,3385.30000000075,FALSE
"632096b5574155e8727c50cc","Washcloth",4,"Stick",1,"Fire",1,"left",FALSE,"right",FALSE,13,TRUE,FALSE,FALSE,"left","right",FALSE,TRUE,FALSE,"right","left",2262.09999999963,1836,FALSE
